,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0,0,22,30,46,39,50,59,61,66,67,70
1,0,12,37,35,56,58,62,63,65,67,70
2,0,29,28,51,50,55,61,63,64,67,70
3,0,18,21,54,48,53,61,62,66,67,70
4,0,26,21,39,50,56,62,65,63,66,70
5,0,27,35,48,54,55,62,61,63,67,70
6,0,15,37,52,57,52,57,64,67,67,70
7,0,10,30,43,51,55,61,57,66,68,70
8,0,18,41,47,54,50,62,63,62,68,70
9,0,15,37,44,54,61,56,63,66,67,70
